Article,views
Seth MacFarlane,3682152
Supergirl (TV series),3680083
Kingsman: The Secret Service,3679486
Freemasonry,3677714
Guardian: The Lonely and Great God,3676650
MS Dhoni,3674002
Sweden,3673749
Colin Kaepernick,3672345
The Disaster Artist (film),3667732
John McCain,3662926
Once Upon a Time (TV series),3661275
Dave Franco,3659500
Chris Evans (actor),3659027
Stan Lee,3657298
Tiffany Trump,3654550
Dunkirk evacuation,3650187
Scientology,3648102
Sophie Turner,3647038
Salma Hayek,3646031
Pink (singer),3645013
Asperger syndrome,3637327
Deadpool (film),3636577
Taiwan,3636455
Judy Garland,3636108
Resident Evil 7: Biohazard,3632948
Dubai,3632788
Kendall Jenner,3632651
Jane Fonda,3629481
Instagram,3627759
Gorillaz,3626766
It (miniseries),3625089
James McAvoy,3624342
H. H. Holmes,3622406
Roger Moore,3620290
Prometheus (2012 film),3613532
Alison Brie,3611577
Gotham (TV series),3610544
The Expanse (TV series),3605278
Theodore Roosevelt,3604419
Jake Paul,3602104
Charlie Hunnam,3592816
2017 FIFA Confederations Cup,3592522
Annabelle: Creation,3592406
Paris Agreement,3591325
Marilyn Manson,3589181
Kristen Bell,3582000
Kris Jenner,3581489
Resident Evil (film series),3579962
Jeff Sessions,3577778
List of Supergirl episodes,3573937
Captain America: Civil War,3572598
WhatsApp,3571616
George Soros,3566185
Kate Hudson,3565806
Padmavati (film),3563550
Sundar Pichai,3549668
Paul McCartney,3546134
Sandra Bullock,3544599
New England Patriots,3544505
Dev Patel,3542158
DC Extended Universe,3542005
Injustice 2,3541338
Avatar (2009 film),3539894
Murder on the Orient Express (2017 film),3539131
"Catherine, Duchess of Cambridge",3530586
Whitney Houston,3529736
Kaley Cuoco,3528531
Kurt Cobain,3527001
"Washington, D.C.",3526827
Fargo (season 3),3525207
The Vampire Diaries,3524641
Lyndon B. Johnson,3524482
Kate Mara,3519396
Amy Adams,3517311
Isaac Newton,3516834
Adam Driver,3515662
Ozark (TV series),3515432
Deepwater Horizon,3514896
Shania Twain,3513157
The Blacklist (TV series),3512973
Sex,3512781
Los Angeles,3510334
Android (operating system),3502748
Brazil,3498907
Attack on Pearl Harbor,3497756
Julius Caesar,3497414
Internet,3493007
Vietnam,3492952
Adam Sandler,3488466
Oprah Winfrey,3488324
Quentin Tarantino,3486717
Milo Ventimiglia,3486279
Local-density approximation,3485040
Grey's Anatomy (season 13),3480761
X-Men: Apocalypse,3477607
Bermuda Triangle,3476496
Cameron Diaz,3475676
Barry Seal,3474112
List of Gotham episodes,3473976
Christopher Nolan,3473771
Andy Warhol,3473553
The Dark Tower (2017 film),3468919
Wentworth Miller,3468458
Game of Thrones (season 6),3464515
The Office (U.S. TV series),3463629
RSS,3461682
Super Bowl LI,3461634
Katherine Langford,3455107
Jamie Dornan,3450598
Dakota Johnson,3448185
Alan Turing,3447008
Charlie Sheen,3442960
Bob Dylan,3442765
Tuberculosis,3440155
Channing Tatum,3435986
Brie Larson,3434958
Wladimir Klitschko,3432621
Kate Winslet,3430543
XXX: Return of Xander Cage,3428086
Antifa (United States),3426436
Mahershala Ali,3424739
Shia LaBeouf,3424435
The Pirate Bay,3421418
Ewan McGregor,3420923
Iran,3420805
AC/DC,3420677
King Arthur: Legend of the Sword,3419101
Travis Scott,3416552
2017 Atlantic hurricane season,3414638
XXXTentacion,3406285
List of Doctor Who serials,3405478
Thomas Jefferson,3399538
Che Guevara,3395103
Buddhism,3391297
Alec Baldwin,3389549
Schizophrenia,3387673
List of Running Man episodes,3386915
Nicole Scherzinger,3385186
Steven Spielberg,3379885
Freddie Highmore,3378675
Muhammad,3377540
Wayne Rooney,3375959
Netflix,3375520
Mary I of England,3374635
A Series of Unfortunate Events (TV series),3370572
Hurricane Katrina,3368730
Cold War,3365614
Attack on Titan,3364280
Andrew Garfield,3364160
Nineteen Eighty-Four,3362380
Big Little Lies (miniseries),3359480
Henry VII of England,3357363
Jeffrey Dean Morgan,3356913
Outlander (TV series),3355592
Human penis size,3355088
Mount Everest,3352920
Arsenal F.C.,3352651
Hawaii,3350972
Nocturnal Animals,3350279
Maisie Williams,3349426
Roman Reigns,3341889
Fifty Shades of Grey,3341823
Joe Biden,3341412
Edmund Kemper,3340350
Jared Leto,3339678
Shawn Mendes,3338333
Bradley Cooper,3337148
Malaysia,3336976
List of The Big Bang Theory episodes,3336831
Sense8,3336669
List of Game of Thrones characters,3336305
Genghis Khan,3332670
Greek alphabet,3331904
James VI and I,3331150
Laverne Cox,3329234
"Prince Andrew, Duke of York",3328773
Assassin's Creed (film),3326312
Dylan Minnette,3324977
Lyme disease,3324549
Cinco de Mayo,3323685
Cars 3,3322630
Malta,3312715
The World's Billionaires,3312057
Patrick Stewart,3311848
Eddie Murphy,3309859
Sam Shepard,3306790
Emily Blunt,3300483
Al Franken,3299471
Statue of Liberty,3299162
Brock Lesnar,3297523
Elizabeth Olsen,3296704
Fifth Harmony,3295640
Otto Warmbier,3293796
Alia Bhatt,3287642
Mother Teresa,3286552
Anal sex,3284896
Chrissy Teigen,3282839
Daniel Radcliffe,3280295
Chernobyl disaster,3279840
Kaabil,3279289
Google Chrome,3279005
Supernatural (U.S. TV series),3278004
Halsey (singer),3277420
Pink Floyd,3277210
Guam,3275524
Aamir Khan,3267935
One Direction,3267832
Kourtney Kardashian,3265621
Roman Polanski,3264013
Celine Dion,3263343
Hillary Clinton,3258580
IPTV,3256350
List of HTTP status codes,3254448
Jimi Hendrix,3251416
Al Pacino,3249943
Dwight D. Eisenhower,3249603
Peter Dinklage,3247353
Google Maps,3246814
Lana Del Rey,3246791
Brooklyn Nine-Nine,3242209
Courteney Cox,3226692
Thomas Edison,3226539
Thailand,3225534
Zoe Saldana,3223860
Charlie Murphy,3221759
Liam Neeson,3219617
Nina Dobrev,3207672
Billions (TV series),3207318
Amber Heard,3205542
Burj Khalifa,3204922
Jerry Lewis,3204646
Demi Moore,3203487
Elisabeth Moss,3203199
Columbine High School massacre,3202667
Louis C.K.,3201783
Tim Curry,3201315
Amitabh Bachchan,3200419
Pretty Little Liars (season 7),3198427
Boston Marathon bombing,3198243
List of states and territories of the United States,3194396
How to Get Away with Murder,3192383
Horizon Zero Dawn,3188260
Chuck Berry,3181868
Brittany Murphy,3181478
Kirsten Dunst,3180381
Usain Bolt,3179915
"Albert, Prince Consort",3178928
Anthony Scaramucci,3178798
Gurmeet Ram Rahim Singh,3178203
"United Kingdom general election, 2017",3177602
Taron Egerton,3174021
Scott Eastwood,3172160
